"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7702","Auto Suggested Drop Down","chromium","Tue May 20 16:24:41 IST 2025","passed","Tue May 20 16:24:49 IST 2025","","DropDown\AutoSuggested.spec.js","",""
"","5086","Radio buttons","chromium","Tue May 20 16:25:34 IST 2025","passed","Tue May 20 16:25:39 IST 2025","","RadioButtons\Radio.spec.js","",""
"","7677","JS Alert - Validate Confirm Test and Click Cancel","chromium","Tue May 20 16:24:29 IST 2025","passed","Tue May 20 16:24:37 IST 2025","Javascript Alert, Confirm, Prompt in Playwright","Alerstss\Alerts.spec.js","",""
"","2282","iframes","chromium","Tue May 20 16:25:01 IST 2025","failed","Tue May 20 16:25:03 IST 2025","","iframe\iframes.spec.js","",""
"","3584","Face Book Login","chromium","Tue May 20 16:25:35 IST 2025","passed","Tue May 20 16:25:38 IST 2025","","RadioButtons\Radio.spec.js","",""
"","4840","opensource","chromium","Tue May 20 16:25:32 IST 2025","passed","Tue May 20 16:25:37 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","6864","tizag","chromium","Tue May 20 16:25:21 IST 2025","passed","Tue May 20 16:25:28 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","2588","Full page screenshots","chromium","Tue May 20 16:25:40 IST 2025","passed","Tue May 20 16:25:43 IST 2025","","Screenshots\screenshoot.spec.js","",""
"","1840","only-testing-blog.blogspot.com","chromium","Tue May 20 16:25:33 IST 2025","passed","Tue May 20 16:25:35 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","4082","Automation","chromium","Tue May 20 16:25:23 IST 2025","passed","Tue May 20 16:25:27 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","6064","Register Ebay Website","chromium","Tue May 20 16:25:08 IST 2025","failed","Tue May 20 16:25:14 IST 2025","","Locators\BuildInLocators1.spec.js","",""
"","737","alaskatrips","chromium","Tue May 20 16:25:29 IST 2025","failed","Tue May 20 16:25:30 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","4199","Checking the browser url","chromium","Tue May 20 16:24:38 IST 2025","passed","Tue May 20 16:24:43 IST 2025","","Assertionss\A.spec.js","",""
"","9033","Salesforce","chromium","Tue May 20 16:25:25 IST 2025","passed","Tue May 20 16:25:34 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","10381","Build in locators","chromium","Tue May 20 16:25:01 IST 2025","passed","Tue May 20 16:25:12 IST 2025","","Locators\BuildInLocators.spec.js","",""
"","7990","JS Alert - Validate Confirm Test and Click OK","chromium","Tue May 20 16:24:29 IST 2025","passed","Tue May 20 16:24:37 IST 2025","Javascript Alert, Confirm, Prompt in Playwright","Alerstss\Alerts.spec.js","",""
"","885","Bing","chromium","Tue May 20 16:25:27 IST 2025","passed","Tue May 20 16:25:28 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","9284","saucelabs","chromium","Tue May 20 16:25:31 IST 2025","passed","Tue May 20 16:25:40 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","4845","Login functionality of the automation website by using the locators","chromium","Tue May 20 16:25:14 IST 2025","passed","Tue May 20 16:25:19 IST 2025","","PracticeTestCases\CaseStudy.spec.js","",""
"","5761","page screenshots","chromium","Tue May 20 16:25:42 IST 2025","passed","Tue May 20 16:25:48 IST 2025","","Screenshots\Ss1.spec.js","",""
